" Frame3DD version: 20130318               http://frame3dd.sf.net/"
"GPL Copyright (C) 1992-2013, Henri P. Gavin "
"Frame3DD is distributed in the hope that it will be useful but with no warranty."
"For details see the GNU Public Licence: http://www.fsf.org/copyleft/gpl.html"
"  Example A: linear static analysis of a 2D truss with support settlement (kips in)               "
" Mon Dec 30 16:00:32 2013
 "
" .CSV formatted results of Frame3DD analysis "

 , Load Case , Displacements , End Forces , Reactions 
 First Row , 1 , 19 , 33 , 77  
 Last Row , 1 , 30 , 74 , 88  
 First Row , 2 , 95 , 109 , 153  
 Last Row , 2 , 106 , 150 , 164  

"L O A D   C A S E   1   O F   2  ... "

"N O D E   D I S P L A C E M E N T S    (global)"
Node  ,  X-dsp   ,   Y-dsp  ,    Z-dsp ,     X-rot  ,    Y-rot   ,   Z-rot
     1,    0.0,        0.0,        0.0,        0.0,        0.0,     -5.01728e-01,
     2,  1.07761e-02, -1.71344e-01,    0.0,        0.0,        0.0,     -8.73830e-02,
     3,  3.55276e-02, -2.97816e-01,    0.0,        0.0,        0.0,      1.55156e-02,
     4,  6.02788e-02, -3.32643e-01,    0.0,        0.0,        0.0,      1.68082e-05,
     5,  8.62947e-02, -2.95487e-01,    0.0,        0.0,        0.0,     -1.55558e-02,
     6,  1.12311e-01, -1.84135e-01,    0.0,        0.0,        0.0,      8.73866e-02,
     7,  1.29754e-01,    0.0,        0.0,        0.0,        0.0,      5.01896e-01,
     8,  1.00000e-01, -1.52896e-01,    0.0,        0.0,        0.0,      1.36060e-01,
     9,  8.92264e-02, -2.89325e-01,    0.0,        0.0,        0.0,     -1.11021e-02,
    10,  5.93944e-02, -3.32855e-01,    0.0,        0.0,        0.0,     -1.37326e-08,
    11,  2.95625e-02, -2.91133e-01,    0.0,        0.0,        0.0,      1.10623e-02,
    12,  1.21217e-02, -1.66951e-01,    0.0,        0.0,        0.0,     -1.36029e-01,
"F R A M E   E L E M E N T   E N D   F O R C E S  (local)"
Elmnt , Node  ,    Nx     ,    Vy   ,     Vz   ,     Txx   ,    Myy  ,     Mzz
     1,     1, -2.60423e+01,  9.90995e-02,      0.0,       0.0,       0.0,  -1.85291e+00,
     1,     2,  2.60423e+01,  2.40778e-01,      0.0,       0.0,       0.0,  -6.64779e+00,
     2,     2, -5.98161e+01,  1.61509e-01,      0.0,       0.0,       0.0,   2.64435e+00,
     2,     3,  5.98161e+01,  1.78368e-01,      0.0,       0.0,       0.0,  -3.65586e+00,
     3,     3, -5.98154e+01,  1.71886e-01,      0.0,       0.0,       0.0,   3.55305e+00,
     3,     4,  5.98154e+01,  1.67992e-01,      0.0,       0.0,       0.0,  -3.31941e+00,
     4,     4, -6.28716e+01,  1.67986e-01,      0.0,       0.0,       0.0,   3.31926e+00,
     4,     5,  6.28716e+01,  1.71891e-01,      0.0,       0.0,       0.0,  -3.55356e+00,
     5,     5, -6.28723e+01,  1.78394e-01,      0.0,       0.0,       0.0,   3.65732e+00,
     5,     6,  6.28723e+01,  1.61483e-01,      0.0,       0.0,       0.0,  -2.64268e+00,
     6,     6, -4.21546e+01,  2.40773e-01,      0.0,       0.0,       0.0,   6.64709e+00,
     6,     7,  4.21546e+01,  9.91045e-02,      0.0,       0.0,       0.0,   1.85301e+00,
     7,     1,  6.40857e+01,  1.47974e-01,      0.0,       0.0,       0.0,   1.85291e+00,
     7,     8, -6.37458e+01,  1.91904e-01,      0.0,       0.0,       0.0,  -5.58052e+00,
     8,     2, -4.44142e+01,  6.06146e-03,      0.0,       0.0,       0.0,  -1.76299e-01,
     8,     8,  4.47541e+01, -6.06146e-03,      0.0,       0.0,       0.0,   9.03674e-01,
     9,     2,  4.79360e+01,  1.64087e-01,      0.0,       0.0,       0.0,   4.17975e+00,
     9,     9, -4.75961e+01,  1.75790e-01,      0.0,       0.0,       0.0,  -5.17274e+00,
    10,     3, -2.03503e+01,  6.41433e-04,      0.0,       0.0,       0.0,   1.02812e-01,
    10,     9,  2.06901e+01, -6.41433e-04,      0.0,       0.0,       0.0,  -2.58402e-02,
    11,     4, -1.71937e+01, -1.70572e-01,      0.0,       0.0,       0.0,  -4.84133e+00,
    11,     9,  1.75336e+01, -1.69305e-01,      0.0,       0.0,       0.0,   4.73385e+00,
    12,     4,  6.82261e-01,      0.0,       0.0,       0.0,       0.0,       0.0, 
    12,    10, -3.42384e-01,      0.0,       0.0,       0.0,       0.0,       0.0, 
    13,     4, -1.28717e+01,  1.70572e-01,      0.0,       0.0,       0.0,   4.84143e+00,
    13,    11,  1.32116e+01,  1.69306e-01,      0.0,       0.0,       0.0,  -4.73401e+00,
    14,     5, -1.03503e+01, -6.57213e-04,      0.0,       0.0,       0.0,  -1.03760e-01,
    14,    11,  1.06902e+01,  6.57213e-04,      0.0,       0.0,       0.0,   2.48944e-02,
    15,     6,  2.94719e+01, -1.64086e-01,      0.0,       0.0,       0.0,  -4.17957e+00,
    15,    11, -2.91320e+01, -1.75791e-01,      0.0,       0.0,       0.0,   5.17276e+00,
    16,     6, -4.13580e+01, -6.07942e-03,      0.0,       0.0,       0.0,   1.75156e-01,
    16,    12,  4.16979e+01,  6.07942e-03,      0.0,       0.0,       0.0,  -9.04687e-01,
    17,     7,  5.97636e+01, -1.47978e-01,      0.0,       0.0,       0.0,  -1.85301e+00,
    17,    12, -5.94237e+01, -1.91900e-01,      0.0,       0.0,       0.0,   5.57995e+00,
    18,     8,  2.60362e+01,  1.85313e-01,      0.0,       0.0,       0.0,   4.67684e+00,
    18,     9, -2.60362e+01,  1.54565e-01,      0.0,       0.0,       0.0,  -2.83199e+00,
    19,     9,  7.20939e+01,  1.68685e-01,      0.0,       0.0,       0.0,   3.29671e+00,
    19,    10, -7.20939e+01,  1.71193e-01,      0.0,       0.0,       0.0,  -3.44717e+00,
    20,    10,  7.20939e+01,  1.71191e-01,      0.0,       0.0,       0.0,   3.44720e+00,
    20,    11, -7.20939e+01,  1.68686e-01,      0.0,       0.0,       0.0,  -3.29688e+00,
    21,    11,  4.21485e+01,  1.54588e-01,      0.0,       0.0,       0.0,   2.83323e+00,
    21,    12, -4.21485e+01,  1.85289e-01,      0.0,       0.0,       0.0,  -4.67526e+00,
"R E A C T I O N S  (global)"
 Node   ,    Fx      ,   Fy   ,      Fz   ,     Mxx    ,    Myy    ,    Mzz
     1,  1.91685e+01,  4.55191e+01,       0.0,        0.0,        0.0,        0.0, 
     2,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
     3,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
     4,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
     5,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
     6,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
     7,       0.0,   4.24630e+01,       0.0,        0.0,        0.0,        0.0, 
     8, -1.91685e+01,       0.0,        0.0,        0.0,        0.0,        0.0, 
     9,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    10,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    11,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    12,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
"R M S    R E L A T I V E    E Q U I L I B R I U M    E R R O R:", 1.000e-09

"L O A D   C A S E   2   O F   2  ... "

