"Linear static analysis of 15ft Groovik's Cube (kips,in)",,,,,,,,,,,,
,,,,,,,,,,,,
# Joint data ?,,,,,,,,,,,,
66,# number of joints,,,,,,,,,,,
#joint,x,y,z,r,units: inches,,,,,,,
1,0,0,0,0,,,,,,,,
2,0,60,0,0,,,,,,,,
3,0,120,0,0,,,,,,,,
4,0,180,0,0,,,,,,,,
5,60,0,0,0,,,,,,,,
6,60,60,0,0,,,,,,,,
7,60,120,0,0,,,,,,,,
8,60,180,0,0,,,,,,,,
9,120,0,0,0,,,,,,,,
10,120,60,0,0,,,,,,,,
11,120,120,0,0,,,,,,,,
12,120,180,0,0,,,,,,,,
13,180,0,0,0,,,,,,,,
14,180,60,0,0,,,,,,,,
15,180,120,0,0,,,,,,,,
16,180,180,0,0,,,,,,,,
17,0,0,60,0,,,,,,,,
18,0,60,60,0,,,,,,,,
19,0,120,60,0,,,,,,,,
20,0,180,60,0,,,,,,,,
21,60,0,60,0,,,,,,,,
22,60,60,60,0,,,,,,,,
23,60,120,60,0,,,,,,,,
24,60,180,60,0,,,,,,,,
25,120,0,60,0,,,,,,,,
26,120,60,60,0,,,,,,,,
27,120,120,60,0,,,,,,,,
28,120,180,60,0,,,,,,,,
29,180,0,60,0,,,,,,,,
30,180,60,60,0,,,,,,,,
31,180,120,60,0,,,,,,,,
32,180,180,60,0,,,,,,,,
33,0,0,120,0,,,,,,,,
34,0,60,120,0,,,,,,,,
35,0,120,120,0,,,,,,,,
36,0,180,120,0,,,,,,,,
37,60,0,120,0,,,,,,,,
38,60,60,120,0,,,,,,,,
39,60,120,120,0,,,,,,,,
40,60,180,120,0,,,,,,,,
41,120,0,120,0,,,,,,,,
42,120,60,120,0,,,,,,,,
43,120,120,120,0,,,,,,,,
44,120,180,120,0,,,,,,,,
45,180,0,120,0,,,,,,,,
46,180,60,120,0,,,,,,,,
47,180,120,120,0,,,,,,,,
48,180,180,120,0,,,,,,,,
49,0,0,180,0,,,,,,,,
50,0,60,180,0,,,,,,,,
51,0,120,180,0,,,,,,,,
52,0,180,180,0,,,,,,,,
53,60,0,180,0,,,,,,,,
54,60,60,180,0,,,,,,,,
55,60,120,180,0,,,,,,,,
56,60,180,180,0,,,,,,,,
57,120,0,180,0,,,,,,,,
58,120,60,180,0,,,,,,,,
59,120,120,180,0,,,,,,,,
60,120,180,180,0,,,,,,,,
61,180,0,180,0,,,,,,,,
62,180,60,180,0,,,,,,,,
63,180,120,180,0,,,,,,,,
64,180,180,180,0,,,,,,,,
65,0,180,240,0,,,,,,,,
66,180,0,240,0,,,,,,,,
# 67,0,0,240,0,,,,,,,,
,,,,,,,,,,,,
# reaction data,,,,,,,,,,,,
2,# number of joints with reactions,,,,,,,,,,,
#joint,x,y,z,xx,yy,zz,,,,,,
65,1,1,1,0,0,1,,,,,,"	""# support element (chain)  from joint 52 to 65"""
66,1,1,1,0,0,0,,,,,,"	""# support element (chain)  from joint 61 to 66"""
# 67,1,1,1,0,0,0,,,,,,"	""# support element (chain)  from joint 61 to 66"""
,,,,,,,,,,,,
,,,,,,,,,,,,
# frame element data,,,,,,,,,,,,
154,#number of frame elements,,,,,,,,,,,
#m,J1,J2,Ax,Asy,Asz,Jxx,Iyy,Izz,E,G,roll,density
1,1,2,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
2,2,3,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
3,3,4,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
4,5,6,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
5,6,7,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
6,7,8,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
7,9,10,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
8,10,11,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
9,11,12,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
10,13,14,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
11,14,15,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
12,15,16,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
13,1,5,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
